Order Number,Company,Original Line Item,Product Name,Style Number,Garment Color,Size,Quantity,Review Reason
#1504,,CornerStone ®  ANSI 107 Class 3 Long Sleeve Segmented Tape Hooded Tee CS208 - Safety Yellow / L,CornerStone ® ANSI 107 Class 3 Long Sleeve Segmented Tape Hooded Tee,CS208,Safety Yellow,L,3,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1504,,Carhartt  ®  Rain Defender  ®  Paxton Heavyweight Hooded Sweatshirt. CT100615 - New Navy / M,Carhartt ® Rain Defender ® Paxton Heavyweight Hooded Sweatshirt,CT100615,New Navy,M,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1504,,Carhartt ®  Gilliam Vest CT102286 - Shadow Grey / L,Carhartt ® Gilliam Vest,CT102286,Shadow Grey,L,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,Water - R&C,Tru-Spec Pro Flex Pant - LE Green / 36 / 32,Tru-Spec Pro Flex Pant - LE Green / 36,,,32,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1505,,Tru-Spec Pro Flex Pant - Khaki / 36 / 32,Tru-Spec Pro Flex Pant - Khaki / 36,,,32,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1505,,A4 Cooling Performance Long Sleeve Hooded Tee A4N3409 - Silver / L,A4 Cooling Performance Long Sleeve Hooded Tee,A4N3409,Silver,L,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,Tru-Spec Agility Pant - Flat Dark Earth / 36 / 32,Tru-Spec Agility Pant - Flat Dark Earth / 36,,,32,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1505,,Tru-Spec Agility Pant - Khaki / 36 / 32,Tru-Spec Agility Pant - Khaki / 36,,,32,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1505,,TravisMathew Rad Flexback Cap. TM1MU426 - Quiet Shade Grey / L/XL,TravisMathew Rad Flexback Cap,TM1MU426,Quiet Shade Grey,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,TravisMathew Rad Flexback Cap. TM1MU426 - Blue Nights / L/XL,TravisMathew Rad Flexback Cap,TM1MU426,Blue Nights,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,Carhartt  ®  Rain Defender  ®  Paxton Heavyweight Hooded Zip Mock Sweatshirt. CT100617 - Carbon Heather / L,Carhartt ® Rain Defender ® Paxton Heavyweight Hooded Zip Mock Sweatshirt,CT100617,Carbon Heather,L,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,Port Authority ®  Outdoor Wide-Brim Hat. C920 - Sterling Grey / L/XL,Port Authority ® Outdoor Wide-Brim Hat,C920,Sterling Grey,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,Port Authority ®  Outdoor Wide-Brim Hat. C920 - Stone / L/XL,Port Authority ® Outdoor Wide-Brim Hat,C920,Stone,L/XL,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,1104 - Ascent - LE Green - 36x32,,1104,Ascent - LE Green - 36x32,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,1104 - Ascent - Khaki - 36x32,,1104,Ascent - Khaki - 36x32,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,ST640LS - large - Silver,,ST640LS,large - Silver,,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,ST640LS - Large - Grey Heather,,ST640LS,Large - Grey Heather,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,ST640LS - large - Royal,,ST640LS,large - Royal,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1505,,JT50- Large - Brown,,JT50,Large - Brown,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1506,Water Quality- R/C,Tru-Spec Pro Flex Pant - Khaki / 34 / 34,Tru-Spec Pro Flex Pant - Khaki / 34,,,34,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1506,,Tru-Spec Pro Flex Pant - Khaki / 36 / 34,Tru-Spec Pro Flex Pant - Khaki / 36,,,34,1,Style number and garment color could not be determined; Missing style number; Missing garment color; Decoration color not assigned in Product Master
#1507,,02MCWST 32 x 30,,02MCWST,32 x 30,,3,Decoration type not assigned in Product Master
#1508,Water - Pumping Station,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Caviar / 32x30,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Caviar,32x30,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1508,,NS849 - Wrangler ATG™ Men's Cliff Side Utility Pant - Blue Nights / 32x30,,NS849,Wrangler ATG™ Men's Cliff Side Utility Pant - Blue Nights,32x30,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1508,,WRT20JH - Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 31 / 30,,WRT20JH,Men's Wrangler Retro Relaxed Fit Boot Cut Jean - 31,30,2,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
#1508,,01MWXDB - 31x30,01MWXDB,31X30,,,2,Garment color could not be determined; Missing garment color; Decoration type not assigned in Product Master
#1508,,STC40 - L/XL - Black/Black,,STC40,L/XL - Black/Black,,1,Vendor not assigned in Product Master; Decoration type not assigned in Product Master
